id,transaction_id,customer_id,transaction_amount,transaction_type,location,device_type,account_balance,transaction_time,is_fraud
1,b327f36d-5a4f-4b24-b5b4-75e7d6425a82,CUST1256,4168.01,Online Transfer,Hyderabad,POS Machine,68292.2,2026-04-08 03:09:27,0
2,f12c112e-00bf-42c7-a61e-e83f2f1b5384,CUST2264,101386.0,POS Payment,Pune,POS Machine,283040.0,2026-05-12 13:43:07,1
3,48aee92c-a309-4f1a-9cb3-60546ce55274,CUST8310,103761.0,UPI Payment,Mumbai,Desktop,214347.0,2026-05-16 08:44:39,1
4,ef1b1cbe-1f77-459d-b492-7a529a34159f,CUST8335,45710.8,Online Transfer,Delhi,Desktop,36276.6,2026-03-19 17:14:20,1
5,3e38eedc-8e26-4dd8-a329-d6c8348e6bf9,CUST5803,32569.9,Card Payment,Delhi,Mobile,105578.0,2026-05-18 08:56:04,0
6,3d64695b-7e2d-48bf-9383-30c3575f041a,CUST9448,89444.2,POS Payment,Mumbai,Tablet,46961.8,2026-03-23 03:21:05,1
7,4af987a9-e1e5-4f21-85cd-7e105a7a5316,CUST6740,102568.0,Online Transfer,Mumbai,ATM,241801.0,2026-03-13 15:39:02,1
8,b821eb13-2504-47eb-ba9f-c8442f914f45,CUST2829,66549.0,UPI Payment,Kolkata,ATM,138179.0,2026-03-13 02:59:26,0
9,d1517017-1051-4cca-bbdc-7e7def9832fb,CUST1664,27027.5,Online Transfer,Delhi,ATM,102761.0,2026-06-01 17:41:44,1
10,32b6a535-b4a5-4ec1-abf9-f9cfa52a6da6,CUST3576,57766.6,POS Payment,Hyderabad,Desktop,261107.0,2026-05-13 01:11:03,0
11,0fc4a742-4a9c-4ec5-80dc-efd358ee9ad1,CUST8402,97082.2,UPI Payment,Hyderabad,Desktop,197705.0,2026-05-23 15:05:04,1
12,c70dac01-3aad-4d24-8e3f-9ab99a394dc3,CUST6971,62838.2,Card Payment,Kolkata,Desktop,192165.0,2026-04-01 09:15:28,0
13,b1ca1aaa-b73f-4717-bb09-a51b450f19ca,CUST6568,84355.3,Online Transfer,Pune,Tablet,218082.0,2026-04-22 02:41:03,0
14,f78943fd-e357-4510-942d-8a8f14b2e899,CUST1188,44892.5,Card Payment,Chennai,Desktop,222734.0,2026-03-25 02:34:31,0
15,7a76f216-c322-4f14-bda5-da7a8635495a,CUST5258,119635.0,POS Payment,Chennai,Tablet,58074.8,2026-04-18 09:54:04,1
16,cceb28dc-30a2-4ff7-83bf-59b6cbb8d85f,CUST3091,24684.7,POS Payment,Hyderabad,POS Machine,184735.0,2026-04-05 10:23:31,0
